แนวเรื่อง (Genre) และ ช่องทางรับชมที่ถูกลิขสิทธิ์ (ในไทย) ของทั้ง 320 เรื่อง ดังนี้ครับ:

86 -Eighty Six- | แนว: ไซไฟ, สงคราม, ดราม่า, เมก้า | ช่องทาง: Bilibili, iQIYI, Netflix

Absolute Duo | แนว: แอ็กชัน, โรงเรียน, ฮาเร็ม | ช่องทาง: Bilibili

A Certain Magical Index | แนว: แอ็กชัน, เวทมนตร์, ไซไฟ | ช่องทาง: Bilibili

A Certain Scientific Railgun | แนว: แอ็กชัน, พลังจิต, ไซไฟ | ช่องทาง: Bilibili

Aharen-san wa Hakarenai | แนว: ตลก, โรแมนติก, โรงเรียน | ช่องทาง: Bilibili

Air | แนว: ดราม่า, โรแมนติก, เหนือธรรมชาติ | ช่องทาง: Bilibili (บางโซน) / แผ่นลิขสิทธิ์

Akame ga Kill! | แนว: แอ็กชัน, ดาร์กแฟนตาซี | ช่องทาง: Bilibili

Akira | แนว: ไซไฟ, ไซเบอร์พังก์, แอ็กชัน | ช่องทาง: Netflix (บางช่วงเวลา)

Akudama Drive | แนว: แอ็กชัน, ไซไฟ, อาชญากรรม | ช่องทาง: Bilibili, iQIYI

Aldnoah.Zero | แนว: แอ็กชัน, เมก้า, ไซไฟ | ช่องทาง: Bilibili

Angel Beats! | แนว: ดราม่า, เหนือธรรมชาติ, โรงเรียน | ช่องทาง: Bilibili

Anohana | แนว: ดราม่า, ชีวิตประจำวัน, เหนือธรรมชาติ | ช่องทาง: Netflix, Bilibili

Another | แนว: สยองขวัญ, ลึกลับ, จิตวิทยา | ช่องทาง: Bilibili

Arifureta: From Commonplace to World's Strongest | แนว: ต่างโลก, แอ็กชัน, แฟนตาซี | ช่องทาง: Bilibili, iQIYI, Ani-One Asia

Arifureta Season 2 | แนว: ต่างโลก, แอ็กชัน, แฟนตาซี | ช่องทาง: Bilibili, iQIYI, Ani-One Asia

A Silent Voice | แนว: ดราม่า, โรแมนติก, โรงเรียน | ช่องทาง: Netflix, Bilibili

Assassination Classroom | แนว: แอ็กชัน, ตลก, โรงเรียน | ช่องทาง: Netflix, Bilibili, Muse Thailand

Assassins Pride | แนว: แฟนตาซี, แอ็กชัน, โรแมนติก | ช่องทาง: Bilibili

Attack on Titan | แนว: แอ็กชัน, ดาร์กแฟนตาซี, เอาชีวิตรอด | ช่องทาง: Netflix, Bilibili, iQIYI, Prime Video, Disney+

Attack on Titan The Final Season | แนว: แอ็กชัน, การเมือง, ดาร์กแฟนตาซี | ช่องทาง: Netflix, Bilibili, iQIYI, Prime Video, Disney+

Baccano! | แนว: แอ็กชัน, ลึกลับ, มาเฟีย | ช่องทาง: แผ่นลิขสิทธิ์

Bakemonogatari | แนว: เหนือธรรมชาติ, จิตวิทยา, ลึกลับ | ช่องทาง: Bilibili

Bakuman | แนว: ชีวิตประจำวัน, แรงบันดาลใจ, สร้างมังงะ | ช่องทาง: Bilibili

Bakusou Kyoudai Let's & Go!! | แนว: กีฬา (รถแข่งของเล่น), ตลก | ช่องทาง: แผ่นลิขสิทธิ์

Banana Fish | แนว: แอ็กชัน, อาชญากรรม, ดราม่า | ช่องทาง: Prime Video

Beck: Mongolian Chop Squad | แนว: ดนตรี, ดราม่า, วัยรุ่น | ช่องทาง: แผ่นลิขสิทธิ์

Beelzebub | แนว: แอ็กชัน, ตลก, เหนือธรรมชาติ | ช่องทาง: Bilibili

Berserk | แนว: แอ็กชัน, ดาร์กแฟนตาซี, สยองขวัญ | ช่องทาง: Netflix, Bilibili

Beyblade | แนว: กีฬา (ลูกข่าง), แอ็กชัน, ของเล่น | ช่องทาง: TrueID, YouTube Official

Black Butler | แนว: ลึกลับ, แฟนตาซี, อิงประวัติศาสตร์ | ช่องทาง: Netflix, Bilibili, iQIYI

Black Clover | แนว: แอ็กชัน, เวทมนตร์, แฟนตาซี | ช่องทาง: Netflix, Bilibili, iQIYI, TrueID

Black Lagoon | แนว: แอ็กชัน, อาชญากรรม, มาเฟีย | ช่องทาง: Netflix (บางช่วงเวลา)

Bleach | แนว: แอ็กชัน, เหนือธรรมชาติ, แฟนตาซี | ช่องทาง: Netflix, Bilibili, iQIYI, TrueID, Ani-One Asia

Bleach: Thousand-Year Blood War | แนว: แอ็กชัน, เหนือธรรมชาติ, แฟนตาซี | ช่องทาง: Netflix, Bilibili, iQIYI, Ani-One Asia

Blood Blockade Battlefront | แนว: แอ็กชัน, แฟนตาซี, เหนือธรรมชาติ | ช่องทาง: Bilibili, Netflix

Blue Exorcist | แนว: แอ็กชัน, ปีศาจ, โรงเรียน | ช่องทาง: Netflix, Bilibili, iQIYI, Muse Thailand

Blue Lock | แนว: กีฬา (ฟุตบอล), จิตวิทยา, เอาชีวิตรอด | ช่องทาง: Netflix, Bilibili, iQIYI, Ani-One Asia

Bocchi the Rock! | แนว: ดนตรี, ตลก, ชีวิตประจำวัน | ช่องทาง: Netflix, Bilibili, iQIYI, Ani-One Asia

Boruto: Naruto Next Generations | แนว: แอ็กชัน, นินจา, ผจญภัย | ช่องทาง: Netflix, Bilibili, iQIYI

Bungou Stray Dogs | แนว: แอ็กชัน, ลึกลับ, พลังพิเศษ | ช่องทาง: Netflix, Bilibili, iQIYI, Ani-One Asia

Call of the Night | แนว: โรแมนติก, เหนือธรรมชาติ, ชีวิตประจำวัน | ช่องทาง: Bilibili, iQIYI

Captain Tsubasa | แนว: กีฬา (ฟุตบอล), สร้างแรงบันดาลใจ | ช่องทาง: Bilibili, iQIYI

Cardcaptor Sakura | แนว: เวทมนตร์, โรแมนติก, ผจญภัย | ช่องทาง: Netflix, Bilibili, Flixer

Cardfight!! Vanguard: Asia Circuit | แนว: การ์ดเกม, แอ็กชัน | ช่องทาง: YouTube (Vanguard Channel)

Cardfight!! Vanguard Divinez | แนว: การ์ดเกม, แอ็กชัน | ช่องทาง: YouTube (Vanguard Channel)

Cardfight!! Vanguard G: GIRS Crisis | แนว: การ์ดเกม, แอ็กชัน | ช่องทาง: YouTube (Vanguard Channel)

Cardfight!! Vanguard G: Stride Gate | แนว: การ์ดเกม, แอ็กชัน | ช่องทาง: YouTube (Vanguard Channel)

Cardfight!! Vanguard: Shinemon | แนว: การ์ดเกม, แอ็กชัน | ช่องทาง: YouTube (Vanguard Channel)

